id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3423,CIAT-905,1,15,Genetic_bank,Canavalia brasiliensis,Herbaceous_legumes,2,91.88,14.53,85.47,24.61,17.08,36.56,9,12.08,15.4,40.88,63.42,Low,High,Category_1a,20,Q1,34
F24-3454,CIAT-8797,1,47,Genetic_bank,Desmanthus virgatus,Shrub_Trees,4,92.9,7.05,92.95,24.5,30.23,59.98,6,15.47,17.84,48.75,48.5,Low,Not High,Category_2,66,Q2,53
F24-3455,CIAT-8819,1,49,Genetic_bank,Coursetia caribaea,Shrub_Trees,4,91.77,13.95,86.05,22.92,19.59,43.99,5,18.58,20.43,48.94,63.34,Low,High,Category_1a,18,Q1,11
F24-3433,CIAT-5234,1,125,Genetic_bank,Centrosema brasilianum,Herbaceous_legumes,2,92.53,11.22,88.78,17.22,33.38,60.63,8,15.51,17.45,40.52,62.56,Low,High,Category_1a,21,Q1,40
F24-3424,CIAT-913,1,17,Genetic_bank,Cajanus cajan,Shrub_Trees,2,94.77,9.21,90.79,25.18,40.42,60.86,9,13.53,16.14,32.83,60.86,Low,High,Category_1a,5,Q1,19
F24-3456,CIAT-9170,1,171,Genetic_bank,Indigofera lespedezioides,Herbaceous_legumes,2,93.09,15.38,84.62,20.75,41.99,54.57,6,15.12,16.69,38.2,42.54,Low,Not High,Category_2,23,Q3,227
F24-3457,CIAT-9254,1,173,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,90.83,6.64,93.36,24.65,20.58,55.34,6,18.25,20.76,52.29,59.58,Medium,Not High,Category_2,150,Q1,56
F24-3458,CIAT-9283,1,175,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,2,92.8,8.19,91.81,25.56,15.01,54.16,6,18.13,20.82,50.83,60.12,Medium,High,Category_1b,19,Q1,50
F24-3459,CIAT-9288,1,177,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,2,93.76,11.91,88.09,27.58,16.46,52.41,6,19.38,22.66,49.11,68.02,Medium,High,Category_1b,,Q1,3
F24-3460,CIAT-9336,1,179,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,2,90.39,8.11,91.89,31.66,19.15,48.61,6,18.63,20.19,50.58,69.15,Medium,High,Category_1b,12,Q1,5
