gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-BR12_3868,Brachiaria interespecifico,Grass,13.44285714,14.6603915,45.78641982,50.21320663,0.34,,Medium,Not High,0,0,0,-99,0,0,0.039,0.064,
CIAT-BR12_4039,Brachiaria interespecifico,Grass,13.42222222,14.70795477,43.64486433,53.48733839,0.37,,Low,Not High,0,0,0,-99,0,0,0.04,0.061,
CIAT-BR12_4400,Brachiaria interespecifico,Grass,13.67777778,15.54328161,44.01815237,45.14938604,0.36,,Low,Not High,0,0,0,-99,0,0,0.022,0.007,
CIAT-BR12_4856,Brachiaria interespecifico,Grass,13.86666667,14.89970764,40.99638861,54.54404312,0.41,,Low,Not High,0,0,0,-99,0,0,0.008,0.048,
CIAT-BR12_4951,Brachiaria interespecifico,Grass,14.34444444,15.02145326,35.75599615,65.93328643,0.48,,Low,High,1.196,1.597,3.989,3.989,13,1,-0.026,0.041,
CIAT-BR12_5049,Brachiaria interespecifico,Grass,12.38888889,14.09256253,50.73006222,45.49695556,0.27,,Medium,Not High,0,0,0,-99,0,0,0.114,0.1,
CIAT-BR15_0722,Brachiaria interespecifico,Grass,14.27777778,14.73888445,36.15030967,60.89206522,0.48,,Low,High,1.157,1.069,3.383,3.383,29,1,-0.021,0.059,
CIAT-BR15_1851,Brachiaria interespecifico,Grass,12.3,13.89658861,36.649838,54.2089875,0.47,,Low,Not High,0,0,0,-99,0,0,0.12,0.113,
CIAT-BR15_2558,Brachiaria interespecifico,Grass,13.62857143,14.66062028,44.56775422,48.0125703,0.36,,Low,Not High,0,0,0,-99,0,0,0.025,0.064,
CIAT-BR15_2811,Brachiaria interespecifico,Grass,12.31111111,13.80183196,50.69496518,41.03555343,0.27,,Medium,Not High,0,0,0,-99,0,0,0.12,0.119,
CIAT-BR15_2891,Brachiaria interespecifico,Grass,11.675,12.86289766,52.42655444,31.55431911,0.24,,Medium,Not High,0,0,0,-99,0,0,0.165,0.179,
CIAT-BR15_3025,Brachiaria interespecifico,Grass,12.97777778,14.12305297,55.11452169,41.23121689,0.2,,Medium,Not High,0,0,0,-99,0,0,0.072,0.098,
CIAT-BR15_3248,Brachiaria interespecifico,Grass,12.22222222,13.72286074,44.53543389,51.99822469,0.36,,Low,Not High,0,0,0,-99,0,0,0.126,0.124,
CIAT-BR15_3434,Brachiaria interespecifico,Grass,13.51111111,15.15253923,48.0409988,37.06566377,0.31,,Medium,Not High,0,0,0,-99,0,0,0.034,0.032,
CIAT-BR15_3811,Brachiaria interespecifico,Grass,13.4,15.26981147,48.14318207,35.08236202,0.3,,Medium,Not High,0,0,0,-99,0,0,0.042,0.025,
