id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3513,CIAT-21031,Christia obcordata,Herbaceous_legumes,94.06,19.67,80.33,20.42,8.94,46.57,34.52,60.94,129.5,55.29,4.34,13.8,15.58,20.23,37.14,282.43
F24-3514,CIAT-21128,Crotalaria pallida,Herbaceous_legumes,93.46,10.34,89.66,29.38,36.54,43.84,33.38,65.81,140.73,53.1,3.83,15.13,17.95,25.14,47.36,521.97
F24-3515,CIAT-21212,Canavalia sp.,Herbaceous_legumes,93.67,15.0,85.0,22.98,20.77,39.82,39.43,77.07,164.44,66.3,4.07,13.34,16.14,26.58,40.3,281.56
F24-3516,CIAT-21263,Sesbania rostrata,Shrub_Trees,92.58,13.36,86.64,25.01,15.32,40.69,38.45,68.47,147.82,60.43,4.16,14.32,15.06,22.31,37.31,899.24
F24-3517,CIAT-21514,Desmanthus virgatus,Shrub_Trees,93.55,9.91,90.08,23.25,15.23,55.95,27.93,48.55,103.75,35.54,3.65,13.74,15.01,15.6,46.93,-218.72
F24-3518,CIAT-21565,Chamaecrista rotundifolia,Herbaceous_legumes,92.64,7.89,92.11,19.59,33.72,58.3,36.78,71.66,154.6,57.7,3.81,12.47,14.73,22.85,39.86,156.23
F24-3519,CIAT-21709,Crotalaria juncea,Herbaceous_legumes,92.16,16.8,83.2,25.97,23.18,43.06,39.28,69.74,151.26,57.17,3.84,14.92,15.88,24.04,42.07,151.59
F24-3520,CIAT-22286,Crotalaria micans,Herbaceous_legumes,93.58,10.4,89.6,25.3,24.48,43.59,36.48,74.76,159.67,59.54,3.76,14.86,15.96,25.49,43.2,1203.16
F24-3521,CIAT-22475,Alysicarpus rugosus,Herbaceous_legumes,94.16,12.42,87.57,17.41,31.68,64.15,31.22,59.17,125.61,43.56,3.56,14.0,15.47,19.51,44.51,97.12
F24-3522,CIAT-22481,Sesbania cochinchinensis,Shrub_Trees,91.97,10.46,89.54,31.18,26.64,61.96,30.63,52.58,114.3,51.99,4.62,13.89,14.44,16.5,31.77,130.73
F24-3523,CIAT-22520,Arachis pusilla,Herbaceous_legumes,93.06,14.93,85.07,20.36,22.79,61.22,32.79,64.53,138.62,51.33,3.77,13.09,14.92,20.77,40.72,107.82
F24-3524,CIAT-22570,Desmanthus bicornutus,Shrub_Trees,92.67,8.46,91.54,32.64,19.87,64.71,20.63,28.26,60.98,36.77,6.51,13.38,14.61,9.06,24.79,-1394.92
F24-3525,CIAT-22594,Desmanthus pernambucanus,Shrub_Trees,94.58,8.87,91.13,27.26,23.96,58.58,27.09,43.49,91.94,38.96,4.29,13.66,14.94,13.77,35.36,-536.91
F24-3526,CIAT-22754,Lablab purpureus,Herbaceous_legumes,91.68,12.14,87.86,30.03,24.88,51.34,42.09,67.48,147.12,51.68,3.53,13.58,15.12,22.29,43.14,287.96
F24-3527,CIAT-22915,Aeschynomene villosa,Herbaceous_legumes,92.06,7.92,92.07,27.06,34.54,64.51,40.76,72.35,157.1,58.09,3.7,13.71,15.35,24.14,41.67,115.98
F24-3528,CIAT-23259,Desmodium gangeticum,Shrub_Trees,92.86,12.96,87.04,23.04,24.96,56.45,27.44,53.1,114.29,51.49,4.56,15.36,16.83,19.24,37.41,-17.74
F24-3529,CIAT-23339,Desmodium gangeticum,Shrub_Trees,93.7,15.0,85.0,22.09,14.57,55.68,27.34,52.34,111.66,53.81,4.9,15.24,16.87,18.86,35.07,236.82
F24-3530,CIAT-23761,Uraria picta,Herbaceous_legumes,95.0,13.68,86.32,18.09,26.64,61.9,32.55,50.91,107.11,44.14,4.23,12.26,13.68,14.71,33.56,443.23
