23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_replication,23_dm_percentage,23_av_dm_percentage,
146,,Benchmark,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,B,33.31357727,,
147,,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,A,46.45504982,46.15231025,
148,,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,B,45.84957068,,
149,,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,43.09982027,43.85594512,
150,,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,44.61206996,,
151,,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,A,51.04375622,49.66183353,
152,,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,B,48.27991085,,
153,,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,31.10006232,31.29929558,
154,,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,31.49852885,,
155,,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,31.24625668,31.36834392,
156,,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,31.49043116,,
157,,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,45.358954,46.21376338,
158,,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,47.06857275,,
159,,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,39.45479194,39.59186487,
160,,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,39.7289378,,
161,,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,33.72865462,33.59233204,
162,,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,33.45600945,,
163,,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,35.55480029,35.0443924,
164,,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,34.5339845,,
165,,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,40.30334159,41.09118789,
