10_sample_serial_no,10_date,10_requisitioner_1,10_requisitioner_2,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_remarks_1,10_remarks_2
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,Observaciones,
118,46119,Genebank,,34,F260454,CIAT8384,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),Eliminada,Reproceso Set 35
119,46119,Genebank,,34,F260455,CIAT8772,Canavalia,bicarinata,Canavalia bicarinata,Fabaceae,Fabales,Climber,"77. 78, 79",OT-006(2026),Eliminada,Reproceso set 35
120,46119,LMF,Jacobo Arango/ Alejandro Montoya,34,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,,"77. 78, 79",OT-001(2025),,
121,46132,Genebank,,35,F260456,CIAT8808,Galactia,jussiaeana,Galactia jussiaeana,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
122,46132,Genebank,,35,F260457,CIAT9177,Vigna,gentryi,Vigna gentryi,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
123,46132,Genebank,,35,F260458,CIAT9389,Rhynchosia,reticulata,Rhynchosia reticulata,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
124,46132,Genebank,,35,F260459,CIAT9992,Canavalia,dictyota,Canavalia dictyota,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
125,46132,Genebank,,35,F260460,CIAT15023,Centrosema,virginianum,Centrosema virginianum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
126,46132,Genebank,,35,F260461,CIAT15027,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
127,46132,Genebank,,35,F260462,CIAT15055,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
128,46132,Genebank,,35,F260463,CIAT15079,Centrosema,vexillatum,Centrosema vexillatum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
129,46132,Genebank,,35,F260464,CIAT15234,Centrosema,platycarpum,Centrosema platycarpum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
130,46132,Genebank,,35,F260465,CIAT15252,Centrosema,bifidum,Centrosema bifidum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
131,46132,Genebank,,35,F260466,CIAT15254,Centrosema,bifidum,Centrosema bifidum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
132,46132,Genebank,,35,F260467,CIAT15349,Centrosema,schottii,Centrosema schottii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
133,46132,Genebank,,35,F260468,CIAT15444,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
134,46132,Genebank,,35,F260469,CIAT15837,Centrosema,tetragonolobum,Centrosema tetragonolobum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
135,46132,Genebank,,35,F260470,CIAT17152,Macrotyloma,uniflorum,Macrotyloma uniflorum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
136,46132,Genebank,,35,F260471,CIAT17155,Macrotyloma,uniflorum,Macrotyloma uniflorum,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
137,46132,Genebank,,35,F260472,CIAT17173,Macrotyloma,daltonii,Macrotyloma daltonii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
138,46132,Genebank,,35,F260473,CIAT17210,Neonotonia,wightii,Neonotonia wightii,Fabaceae,Fabales,Climber,"80, 81, 82",OT-006(2026),,
