21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,,Replication,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","Av OM, %"
118,,Genetic bank,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,B,95.23047695,,12.05148411,,87.94851589,
119,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,A,95.76,95.80582967,8.068402546,8.040705499,91.93159745,91.9592945
120,,Genetic bank,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,B,95.85165934,,8.013008451,,91.98699155,
121,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,A,96.01,95.99560282,10.0108752,10.01978804,89.9891248,89.98021196
122,,Genetic bank,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,B,95.98120564,,10.02870088,,89.97129912,
123,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,A,95.6117553,95.65609263,10.481287,10.50899172,89.518713,89.49100828
124,,Genetic bank,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,B,95.70042996,,10.53669643,,89.46330357,
125,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,A,94.82,94.83654407,6.906620295,6.904549551,93.09337971,93.09545045
126,,Genetic bank,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,B,94.85308815,,6.902478808,,93.09752119,
127,,Genetic bank,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,A,95.68043196,95.71149321,6.310000876,6.438946834,93.68999912,93.56105317
128,,Genetic bank,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,B,95.74255447,,6.567892791,,93.43210721,
129,,Genetic bank,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,A,94.75209916,94.82283683,8.992126422,9.01712506,91.00787358,90.98287494
130,,Genetic bank,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,B,94.8935745,,9.042123699,,90.9578763,
