23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
10,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,,,,,,
11,F25-0769,AMC-ICARDA-156302,Trifolium,repens,Trifolium repens,A,,,,,,
11,F25-0769,AMC-ICARDA-156302,Trifolium,repens,Trifolium repens,B,,,,,,
11,F25-0848,ILRI-2273-27,Trifolium ,burchellianum,Trifolium burchellianum,A,,,,,,
11,F25-0848,ILRI-2273-27,Trifolium ,burchellianum,Trifolium burchellianum,B,,,,,,
11,F25-0845,ILRI-21682-24,Leucaena,pallida,Leucaena pallida,A,,,,,,
11,F25-0845,ILRI-21682-24,Leucaena,pallida,Leucaena pallida,B,,,,,,
11,F25-0907,ABC-17488-1,Leucaena,leucocephala,Leucaena leucocephala,A,,,,,,
11,F25-0907,ABC-17488-1,Leucaena,leucocephala,Leucaena leucocephala,B,,,,,,
11,F25-0863,ILRI-10299-42,Erythrina,abyssinica,Erythrina abyssinica,A,,,,,,
11,F25-0863,ILRI-10299-42,Erythrina,abyssinica,Erythrina abyssinica,B,,,,,,
11,F25-0897,ABC-21694-1,Erythrina ,velutina,Erythrina velutina,A,,,,,,
11,F25-0897,ABC-21694-1,Erythrina ,velutina,Erythrina velutina,B,,,,,,
11,F25-0878,ILRI-7153-57,Panicum,coloratum,Panicum coloratum,A,,,,,,
11,F25-0878,ILRI-7153-57,Panicum,coloratum,Panicum coloratum,B,,,,,,
11,F25-0850,ILRI-13946-29,Stylosanthes,fructicosa,Stylosanthes fructicosa,A,,,,,,
11,F25-0850,ILRI-13946-29,Stylosanthes,fructicosa,Stylosanthes fructicosa,B,,,,,,
11,F25-0773,AMC-ICARDA-168125,Lathyrus,sylvestris,Lathyrus sylvestris,A,,,,,,
11,F25-0773,AMC-ICARDA-168125,Lathyrus,sylvestris,Lathyrus sylvestris,B,,,,,,
11,F25-0798,ICARDA-IFLA-ENT27,Lathyrus,sativus,Lathyrus sativus,A,,,,,,
11,F25-0798,ICARDA-IFLA-ENT27,Lathyrus,sativus,Lathyrus sativus,B,,,,,,
11,F25-0814,ICARDA-T-216004,Vicia ,narbonensis ,Vicia narbonensis L.,A,,,,,,
11,F25-0814,ICARDA-T-216004,Vicia ,narbonensis ,Vicia narbonensis L.,B,,,,,,
11,F25-0770,AMC-ICARDA-165072,Vicia ,tenuifolia,Vicia tenuifolia,A,,,,,,
11,F25-0770,AMC-ICARDA-165072,Vicia ,tenuifolia,Vicia tenuifolia,B,,,,,,
11,F25-0891,ABC-23890-1,Desmodium,heterocarpon,Desmodium heterocarpon,A,,,,,,
11,F25-0891,ABC-23890-1,Desmodium,heterocarpon,Desmodium heterocarpon,B,,,,,,
11,F25-0893,ABC-43253-1,Desmodium,scorpiurus,Desmodium scorpiurus,A,,,,,,
11,F25-0893,ABC-43253-1,Desmodium,scorpiurus,Desmodium scorpiurus,B,,,,,,
11,F25-0873,ILRI-7384-52,Chloris,gayana,Chloris gayana,A,,,,,,
11,F25-0873,ILRI-7384-52,Chloris,gayana,Chloris gayana,B,,,,,,
11,F25-0924,ABC-16666-1,Chloris,gayana,Chloris gayana,A,,,,,,
11,F25-0924,ABC-16666-1,Chloris,gayana,Chloris gayana,B,,,,,,
11,F25-0923,ABC-36099-1,Cenchrus,ciliaris,Cenchrus ciliaris,A,,,,,,
11,F25-0923,ABC-36099-1,Cenchrus,ciliaris,Cenchrus ciliaris,B,,,,,,
11,F25-0874,ILRI-16791-53,Cenchrus,Purpureues,Cenchrus Purpureues,A,,,,,,
11,F25-0874,ILRI-16791-53,Cenchrus,Purpureues,Cenchrus Purpureues,B,,,,,,
