42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
137,7,F24 3480,Genetic bank,ABC-17775-1,Christia,obcordata,Christia obcordata,94.3019828,10.725,16.04996893,26.03646082,54.96795705,
138,7,F24 3481,Genetic bank,ABC-18016-1,Sesbania,emerus,Sesbania emerus,93.22268986,7.685,24.15784219,28.11638345,56.38157902,
139,7,F24 3482,Genetic bank,ABC-18044-1,Christia,sp.,Christia sp.,93.66689993,14.44,21.00012874,22.6938603,54.67917535,
140,7,F24 3483,Genetic bank,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,92.91141465,8.89,23.18028169,27.95025006,51.10366055,
141,7,F24 3484,Genetic bank,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,92.93353323,7.5,29.41115131,26.19653597,54.05004759,
142,7,F24 3485,Genetic bank,ABC-18455-1,Christia,obcordata,Christia obcordata,93.2033983,14.45,21.77303294,22.27016756,52.42690104,
143,7,F24 3486,Genetic bank,ABC-18707-1,Crotalaria,pallida,Crotalaria pallida,92.82607932,7.44,37.49811369,22.03122998,51.92656888,
144,7,F24 3487,Genetic bank,ABC-18749-1,Arachis,pintoi,Arachis pintoi,92.69753995,14.32,21.12793945,27.42442885,51.5288203,
145,7,F24 3488,Genetic bank,ABC-18813-1,Crotalaria,nitens,Crotalaria nitens,91.79702881,16.91,17.16342238,28.68680636,52.37107717,
146,7,F24 3489,Genetic bank,ABC-18848-1,Alysicarpus,rugosus,Alysicarpus rugosus,94.4269452,24.505,19.98876765,28.13229937,48.33421443,
147,7,F24 3490,Genetic bank,ABC-18862-1,Alysicarpus,rugosus,Alysicarpus rugosus,93.06534847,16.355,24.57881528,21.71893469,49.433281,
148,7,F24 3491,Genetic bank,ABC-18931-1,Tephrosia,linearis,Tephrosia linearis,93.53564287,10.785,28.55552953,19.07405185,61.08643903,
149,7,F24 3492,Genetic bank,ABC-19038-1,Canavalia,sp.,Canavalia sp.,90.17147475,16.035,23.78356078,17.61119084,47.64742547,
150,7,F24 3493,Genetic bank,ABC-19118-1,Alysicarpus,rugosus,Alysicarpus rugosus,92.92035146,11.39,22.79950205,24.1800352,44.31262576,
151,7,F24 3494,Genetic bank,ABC-19127-1,Alysicarpus,rugosus,Alysicarpus rugosus,92.25154138,10.385,19.49502682,34.90972739,57.93355379,
152,7,F24 3495,Genetic bank,ABC-19128-1,Alysicarpus,rugosus,Alysicarpus rugosus,92.68536796,9.45,17.09154173,40.01004818,61.97315593,
153,7,F24 3496,Genetic bank,ABC-19129-1,Alysicarpus,rugosus,Alysicarpus rugosus,93.45695735,11.985,17.81459969,36.71002423,62.07653936,
154,7,F24 3497,Genetic bank,ABC-19133-1,Alysicarpus,rugosus,Alysicarpus rugosus,93.12740464,11.81,17.49348196,35.05733935,55.15014717,
155,7,F24 3498,Genetic bank,ABC-19137-1,Alysicarpus,rugosus,Alysicarpus rugosus,93.77186844,10.965,18.129116,33.34237695,57.06964178,
156,7,F24 3499,Genetic bank,ABC-19138-1,Alysicarpus,rugosus,Alysicarpus rugosus,92.69072086,11.37,21.31731707,32.53670505,54.0327314,
157,7,F24 3500,Genetic bank,ABC-19139-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,94.60553889,12.045,18.53940369,35.03283324,58.30815457,
158,7,F25 0017,Genetic bank,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,91.33303174,,,,,
159,7,F25 0018,LMF,Homenheim Concentrate,0,0,Homenheim Concentrate,89.69309597,,,,,
160,7,F25 0019,LMF,Sample 8,0,0,Cynodon nlemfuensis ,93.73093584,,,,,
161,8,F25 0772,LMF,ICARDA 165563,Trifolium ,pratense,Trifolium pratense,90.56425487,,,,,Piloto
162,8,F25 0783,LMF,ICARDA J8,Daucus ,carota,Daucus carota,90.88455772,,,,,Piloto
163,8,F25 0784,LMF,ICARDA J9,Fumaria , bracteosa,Fumaria bracteosa,92.62184602,,,,,Piloto
164,8,F25 0788,LMF,ICARDA J13,Cichorium ,pumilum,Cichorium pumilum,90.75825528,,,,,Piloto
165,8,F25 0813,LMF,ICARDA T216003,Rhus ,tripartita (Ucria) Grande,Rhus tripartita (Ucria) Grande,93.54532447,,,,,Piloto
166,8,F25 0820,LMF,ICARDA T216010,Retama ,raetam (Forssk.) Webb.,Retama raetam (Forssk.) Webb.,93.71125775,,,,,Piloto
167,8,F25 0823,LMF,ILRI 6529 2 119707,Labalab , purpureues,Labalab purpureues,91.25305991,,,,,Piloto
168,8,F25 0824,LMF,ILRI 10925 3 119708,Arachis , glabrata,Arachis glabrata,89.92902779,,,,,Piloto
169,8,F25 0825,LMF,ILRI 6984 4 119709,Medicago ,sativa,Medicago sativa,90.28742629,,,,,Piloto
170,8,F25 0837,LMF,ILRI 10920 16 119721,Arachis , pintoi,Arachis pintoi,90.69733371,,,,,Piloto
