22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
109,,,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,8.588266117,8.588266117
110,,,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,8.588266117,
111,,,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,,,11.84729481,11.84729481
112,,,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,,,11.84729481,
113,,,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,9.725160285,9.725160285
114,,,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,9.725160285,
115,,,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,9.055024441,9.055024441
116,,,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,9.055024441,
117,,,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,8.717412856,8.717412856
118,,,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,8.717412856,
119,,,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,8.710478289,8.710478289
120,,,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,8.710478289,
121,,,FAO,FAO,FAO,FAO,FAO,FAO,A,,,,,,,,#DIV/0!
122,,,FAO,FAO,FAO,FAO,FAO,FAO,B,,,,,,,,
123,,,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,,,9.000965172,9.000965172
124,,,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,,,9.000965172,
